标的,品种,数据源,事件类型,事件日,当日波动率,事件日收盘,5日最低,5日最高,5日最低相对,5日最高相对,T5收盘涨跌%
510050,上证50ETF,IV(真实),冰点·上市以来新低,2015-02-09,34.38,1.825,1.815,1.868,-0.55,5.37,3.45
510050,上证50ETF,IV(真实),冰点·上市以来新低,2016-04-21,23.63,1.64,1.614,1.648,-1.59,1.04,-0.24
510050,上证50ETF,IV(真实),冰点·上市以来新低,2016-05-30,17.41,1.583,1.585,1.643,0.13,4.61,3.28
510050,上证50ETF,IV(真实),冰点·上市以来新低,2016-07-22,16.1,1.694,1.666,1.704,-1.65,1.89,0.06
510050,上证50ETF,IV(真实),冰点·上市以来新低,2016-08-05,15.16,1.689,1.679,1.7,-0.59,4.62,4.56
510050,上证50ETF,IV(真实),冰点·上市以来新低,2016-10-17,13.09,1.744,1.74,1.778,-0.23,5.33,4.24
510050,上证50ETF,IV(真实),冰点·上市以来新低,2017-01-20,12.77,1.896,1.886,1.903,-0.53,1.21,-0.37
510050,上证50ETF,IV(真实),冰点·上市以来新低,2017-02-03,12.62,1.889,1.871,1.894,-0.95,1.59,1.27
510050,上证50ETF,IV(真实),冰点·上市以来新低,2017-02-23,12.36,1.934,1.898,1.924,-1.86,-0.05,-1.76
510050,上证50ETF,IV(真实),冰点·上市以来新低,2017-03-17,12.04,1.89,1.876,1.896,-0.74,1.48,1.11
510050,上证50ETF,IV(真实),冰点·上市以来新低,2017-03-30,10.59,1.89,1.888,1.905,-0.11,2.49,1.8
510050,上证50ETF,IV(真实),冰点·上市以来新低,2017-04-14,10.28,1.897,1.86,1.88,-1.95,0.32,-0.47
510050,上证50ETF,IV(真实),冰点·上市以来新低,2017-05-05,8.35,1.86,1.845,1.866,-0.81,3.06,3.06
510050,上证50ETF,IV(真实),冰点·上市以来新低,2017-05-18,7.4,1.897,1.894,1.904,-0.16,6.69,6.33
510050,上证50ETF,IV(真实),高点·上市以来新高,2015-02-09,34.38,1.825,1.815,1.868,-0.55,5.37,3.45
510050,上证50ETF,IV(真实),高点·上市以来新高,2015-04-07,34.65,2.336,2.324,2.405,-0.51,7.79,6.72
